valid,lat,lon,name,adm,airport,allairport,alltime,nonairport,nontime,oneairport,onetime,twoairport,twotime,time
true,64.066644,-139.416669,DawsonCity,CAN,,IRC,,,,FAI,,IRC,,32.58537737749489 
false,63.33829,-90.700082,ChesterfieldInlet,CAN,YCS,YCS,,,,,,YHK,, 
false,69.256535,-81.793592,Igloolik,CAN,YGT,YGT,,,,,,YYH,, 
true,48.466588,-81.333315,Timmins,CAN,,YTS,,YYZ,,YUY,,YTS,,18.700468247849745 
true,46.300002,-79.449993,NorthBay,CAN,,YYB,,YYZ,,YYB,,YTS,,16.201402730320787 
false,55.281495,-77.765832,Kuujjuarapik,CAN,YGW,YGW,,,,YGL,,YKU,, 
false,58.100005,-68.399996,Kuujjuaq,CAN,YVP,YVP,,,,YYR,,YDP,, 
true,46.066115,-60.179981,Sydney,CAN,,YQY,,YHZ,,YQY,,YBX,,14.579584063666664 
true,52.941431,-66.915874,LabradorCity,CAN,,YWK,,YHZ,,YYR,,YWK,,16.446718780497363 
true,5.76196,20.667203,Bambari,CAF,,BGF,,,,BGF,,MDK,,21.392121129853106 
true,2.900015,11.150006,Ebolowa,CMR,,NSI,,ABV,,NSI,,BSG,,17.362309053493526 
true,-50.333324,-72.300016,ElCalafate,ARG,,FTE,,,,FTE,,RGA,,28.37204800882242 
true,45.438659,12.334999,Venice,ITA,,VCE,,VCE,,BZO,,LGG,,6.549977269631289 
true,-31.550026,-68.519988,SanJuan,ARG,,UAQ,,EZE,,SCL,,MDZ,,30.039146512977123 
true,-43.300007,-65.09999,Rawson,ARG,,REL,,,,REL,,PMY,,26.693494320682223 
true,-14.833372,-64.899977,Trinidad,BOL,,TDD,,,,VVI,,CBB,,28.27681716869449 
true,-38.95004,-68.059991,Neuquen,ARG,,NQN,,EZE,,BRC,,NQN,,28.47555380860232 
true,-41.149957,-71.3,SanCarlosdeBariloche,ARG,,BRC,,,,BRC,,CPC,,27.060928527039078 
true,-24.783359,-65.416638,Salta,ARG,,SLA,,,,COR,,SLA,,28.478666554758572 
true,-36.620001,-64.299988,SantaRosa,ARG,,RSA,,EZE,,ROS,,RSA,,27.763098147428597 
true,-26.816,-65.216624,Tucumán,ARG,,TUC,,,,COR,,TUC,,28.74973017317342 
true,-26.172835,-58.182816,Formosa,ARG,,FMA,,EZE,,ASU,,FMA,,25.75097747235422 
true,-31.623872,-60.690001,SantaFe,ARG,,SFN,,EZE,,ROS,,SFN,,26.38443802989546 
true,-32.95113,-60.666308,Rosario,ARG,,ROS,,EZE,,ROS,,PRA,,25.00582691878435 
true,-22.900012,-47.10003,Campinas,BRA,,VCP,,GRU,,VCP,,CGH,,21.186458191125652 
true,-23.490002,-47.469981,Sorocaba,BRA,,VCP,,GRU,,VCP,,CGH,,21.18762485779232 
true,-21.17004,-47.829985,RibeiraoPreto,BRA,,RAO,,GRU,,VCP,,RAO,,23.430041524458986 
true,-9.38001,-40.509967,Petrolina,BRA,,PNZ,,,,SSA,,PNZ,,21.573990726448795 
true,5.959984,10.150016,Bamenda,CMR,,DLA,,ABV,,DLA,,NGE,,21.02481695763627 
true,34.330009,62.169993,Herat,AFG,,HEA,,ASB,,MHD,,HEA,,17.57275846435731 
true,9.300012,13.390025,Garoua,CMR,,GOU,,ABV,,YOL,,GOU,,16.43962063571479 
true,36.699994,67.100028,Mazar-eSharif,AFG,,MZR,,TAS,,MZR,,DYU,,16.02608344357741 
true,13.100013,103.200047,Battambang,KHM,,REP,,BKK,,REP,,UTP,,25.390038666868197 
true,13.366638,103.850033,SiemReap,KHM,,REP,,BKK,,REP,,KOS,,22.807705333534866 
true,-9.54,16.340026,Malanje,AGO,,MEG,,LAD,,MEG,,TSH,,18.078663287364538 
true,-12.578265,13.407233,Benguela,AGO,,CBT,,LAD,,CBT,,,,18.38139908761705 
true,-14.910009,13.490019,Lubango,AGO,,SDD,,LAD,,SDD,,WVB,,18.719090754107118 
true,-21.516685,-64.749986,Tarija,BOL,,TJA,,,,VVI,,TJA,,25.866593741857 
true,-15.190043,12.160022,Namibe,AGO,,MSZ,,LAD,,MSZ,,WVB,,18.81814890769737 
true,13.102003,-59.616527,Bridgetown,BRB,,BGI,,BGI,,SVD,,FDF,,15.571309402637995 
