destination,route,length,stops
UYN,"UYN,XIY,HEL,LONDON",14.466553799629638,4
LAS,"LAS,LONDON",13.9916995795065,2
LAX,"LAX,LONDON",14.59917071433217,2
CAI,"CAI,LONDON",5.885098914414759,2
TLV,"TLV,LONDON",5.976954226633398,2
MCG,"MCG,ANC,SEA,LONDON",17.2978493218548,4
NIB,"NIB,MCG,ANC,SEA,LONDON",17.401293461137634,5
TCT,"TCT,MCG,ANC,SEA,LONDON",17.338169682371653,5
TLJ,"TLJ,MCG,ANC,SEA,LONDON",17.330933927134414,5
EYK,"EYK,VKO,LONDON",7.256220810934881,3
VKO,"VKO,LONDON",4.158030199117869,2
NCU,"NCU,DME,LONDON",7.767896509679046,3
TJM,"TJM,LED,LONDON",6.897774954046867,3
UFA,"UFA,SVO,LONDON",6.128568484127591,3
NYM,"NYM,VKO,LONDON",7.801756110765735,3
OVS,"OVS,VKO,LONDON",6.899999397544746,3
UCT,"UCT,LED,LONDON",5.646220823469564,3
DAC,"DAC,LONDON",13.346442850799756,2
BZL,"BZL,DAC,LONDON",13.540311063207655,3
CCU,"CCU,DEL,LONDON",13.395654032789913,3
CGP,"CGP,DAC,LONDON",13.727885963504523,3
MCT,"MCT,LONDON",9.715220965958657,2
CXB,"CXB,DAC,LONDON",13.864228954887398,3
JSR,"JSR,DAC,LONDON",13.589596662824297,3
KTM,"KTM,DEL,LONDON",12.566463577386228,3
SPD,"SPD,DAC,LONDON",13.780955324710273,3
ZYL,"ZYL,LONDON",13.351477094496259,2
RJH,"RJH,DAC,LONDON",13.667159466290222,3
YGZ,"YGZ,YRB,YAB,YFB,YVP,YKL,YWK,YYR,YYT,LONDON",13.613713721039684,10
YRB,"YRB,YAB,YFB,YVP,YKL,YWK,YYR,YYT,LONDON",12.974692658287548,9
DFW,"DFW,LONDON",12.71555800700051,2
EZE,"EZE,LONDON",18.575102862790526,2
JFK,"JFK,LONDON",9.238229521301244,2
MIA,"MIA,LONDON",11.855564401284564,2
PUJ,"PUJ,LONDON",11.479060754175661,2
YEG,"YEG,LONDON",11.346344090288612,2
YXY,"YXY,YEG,LONDON",13.893987089523158,3
YLW,"YLW,YEG,LONDON",12.257459538636786,3
YOW,"YOW,LONDON",8.914471892990981,2
YZF,"YZF,YEG,LONDON",13.044711388799653,3
YYC,"YYC,LONDON",11.689366851358582,2
ACA,"ACA,MEX,LONDON",15.35588424962587,3
MEX,"MEX,LONDON",14.845035798691079,2
TLC,"TLC,SAT,DTW,LONDON",15.233840259671567,4
AGU,"AGU,IAH,LONDON",14.867041957296918,3
CEN,"CEN,HMO,PHX,LONDON",15.296832734908483,4
CJS,"CJS,CUU,DFW,LONDON",14.88298612040671,4
CME,"CME,IAH,LONDON",15.125546469362979,3
CPE,"CPE,MEX,LONDON",16.342807153528376,3
CTM,"CTM,MEX,LONDON",16.735818184416956,3
CUL,"CUL,MTY,IAH,LONDON",15.294261004233903,4
CUN,"CUN,LONDON",13.259342359702933,2
MTY,"MTY,IAH,LONDON",14.04546088387541,3
CUU,"CUU,DFW,LONDON",14.334320550948457,3
CZM,"CZM,MIA,LONDON",13.349131152841565,3
GDL,"GDL,IAH,LONDON",15.145401718549973,3
SAT,"SAT,DTW,LONDON",13.335160759562491,3
SJD,"SJD,ORD,LONDON",15.42470111579675,3
SNA,"SNA,LAS,LONDON",14.599143107368572,3
TIJ,"TIJ,HMO,PHX,LONDON",16.062189094517027,4
GUA,"GUA,MIA,LONDON",14.58892223242215,3
HAV,"HAV,LONDON",12.480366640163158,2
HMO,"HMO,PHX,LONDON",14.92406066396001,3
HUX,"HUX,IAH,LONDON",15.580524218408456,3
LAP,"LAP,MZT,DFW,LONDON",15.781394471374327,4
MID,"MID,MIA,LONDON",13.684850429404747,3
MTT,"MTT,MEX,LONDON",15.67090214213469,3
MZT,"MZT,DFW,LONDON",15.065637411505612,3
OAX,"OAX,CUN,LONDON",15.139588264889023,3
PVR,"PVR,YUL,LONDON",15.328857879828554,3
REX,"REX,CUN,LONDON",15.395734919709977,3
SJO,"SJO,SDQ,PUJ,LONDON",14.751362265480058,4
TAM,"TAM,IAH,LONDON",14.427799334277074,3
TGZ,"TGZ,CUN,LONDON",14.619684009586866,3
TRC,"TRC,DFW,LONDON",14.419569023888126,3
VER,"VER,CUN,LONDON",14.916894946841657,3
VSA,"VSA,CUN,LONDON",14.43981900202008,3
ZCL,"ZCL,DFW,LONDON",14.785875600957258,3
ZIH,"ZIH,MEX,LONDON",15.385178745429455,3
ZLO,"ZLO,IAH,LONDON",15.479584110971528,3
DEL,"DEL,LONDON",11.20785203554116,2
HEA,"HEA,MHD,IST,LONDON",9.250508464357308,4
KBL,"KBL,GYD,LONDON",9.674818805386508,3
ISB,"ISB,LONDON",10.099489077496147,2
MZR,"MZR,IST,LONDON",9.735805665799633,3
AYT,"AYT,LONDON",4.892875807911068,2
BSL,"BSL,LONDON",1.1977290560682998,2
HRG,"HRG,LONDON",6.554712211118026,2
PRN,"PRN,LONDON",3.155389133699315,2
SKP,"SKP,LONDON",3.2894780883800707,2
AGP,"AGP,LONDON",2.805629976962533,2
STR,"STR,LONDON",1.255573599203896,2
ALG,"ALG,LONDON",2.7902612671647278,2
AOI,"AOI,LONDON",2.2525267713186383,2
ATH,"ATH,LONDON",4.041720226794907,2
HAJ,"HAJ,LONDON",1.1606718042212827,2
BEG,"BEG,LONDON",2.830293346234088,2
BGO,"BGO,LONDON",1.7238154535748516,2
BHX,"BHX,GCI,LONDON",1.0363313485770573,3
BIA,"BIA,LONDON",2.074460658061436,2
BIO,"BIO,LONDON",1.5571604591499328,2
BRE,"BRE,LONDON",1.0759391263089535,2
BRI,"BRI,LONDON",2.9057816323590147,2
BUD,"BUD,LONDON",2.474149281319137,2
CAG,"CAG,LONDON",2.580653625035852,2
CDG,"CDG,LONDON",0.5812814334342864,2
CFU,"CFU,LONDON",3.4172641582480727,2
CLY,"CLY,CDG,LONDON",2.0273671101328907,3
CTA,"CTA,LONDON",3.2965343678985457,2
DBV,"DBV,LONDON",2.8691504470645994,2
DUB,"DUB,LONDON",0.7512273712440668,2
EDI,"EDI,LONDON",0.8823077776108116,2
FAO,"FAO,LONDON",2.868198585972355,2
FCO,"FCO,LONDON",2.407527275552694,2
HDF,"HDF,DTM,LONDON",1.7757265845245576,3
HER,"HER,LONDON",4.522190462909435,2
IBZ,"IBZ,LONDON",2.3564331999275754,2
JMK,"JMK,LONDON",4.251166556395678,2
JTR,"JTR,LONDON",4.404660869105668,2
KGS,"KGS,LONDON",4.515677955922014,2
KLU,"KLU,CGN,LONDON",2.058101361149955,3
KVA,"KVA,STR,LONDON",3.7333225217790087,3
LEJ,"LEJ,LONDON",1.4552521815218982,2
LIS,"LIS,LONDON",2.620455751987163,2
MAN,"MAN,LONDON",0.40013389515365244,2
MXP,"MXP,LONDON",1.5606140020870432,2
NCE,"NCE,LONDON",1.7383413711742974,2
PMO,"PMO,LONDON",3.0320248352029,2
PRG,"PRG,LONDON",1.7317438811571801,2
PSA,"PSA,LONDON",1.977412185686122,2
PUY,"PUY,LONDON",2.1464029941890828,2
RAK,"RAK,LONDON",3.8364366569945805,2
RHO,"RHO,LONDON",4.670290493087529,2
